doi,kept_file,removed_file,kept_pdf,removed_pdf
10.1016/j.ccm.2013.05.005,out/hardened/The Business of IP.json,out/hardened/The business of interventional pulmonology.json,Erb et al. - 2013 - The Business of Interventional Pulmonology.pdf,Erb et al. - 2013 - The Business of Interventional Pulmonology.pdf
10.1016/j.ccm.2017.11.009,out/hardened/Percutaneous Dilational Tracheostomy 2018.json,out/hardened/Percutaneous dilational tracheostomy.json,Hsia et al. - 2013 - Percutaneous Dilational Tracheostomy.pdf,Hsia et al. - 2013 - Percutaneous Dilational Tracheostomy.pdf
10.1016/j.ccm.2017.11.016,out/hardened/Advances in IP.json,out/hardened/Advances in Interventional Pulmonology 2018.json,Moore et al. - 2018 - Advances in Interventional Pulmonology.pdf,Moore et al. - 2018 - Advances in Interventional Pulmonology.pdf
10.1016/j.chest.2021.02.008,out/hardened/Advanced Diagnostic and Therapeutic Bronchoscopy .json,out/hardened/Advanced diagnostic and therapeutic bronchoscopy technology and reimbursement.json,Desai et al. - 2021 - Advanced Diagnostic and Therapeutic Bronchoscopy.pdf,Desai et al. - 2021 - Advanced Diagnostic and Therapeutic Bronchoscopy.pdf
10.1016/j.chest.2021.07.2169,out/hardened/SSRAB in the Diagnosis of PPLs.json,out/hardened/Shape-sensing robotic-assisted bronchoscopy in the diagnosis of pulmonary parenchymal lesions.json,Kalchiem-Dekel et al. - 2022 - Shape-Sensing Robotic-Assisted Bronchoscopy in the Diagnosis of Pulmonary Parenchymal Lesions.pdf,Kalchiem-Dekel et al. - 2022 - Shape-Sensing Robotic-Assisted Bronchoscopy in the Diagnosis of Pulmonary Parenchymal Lesions.pdf
10.1016/j.chest.2022.10.019,out/hardened/SSRAB vs DT ENB.json,out/hardened/Shape-Sensing Robotic vs Tomo ENB.json,Low et al. - 2023 - Shape-Sensing Robotic-Assisted Bronchoscopy vs Digital Tomosynthesis-Corrected Electromagnetic Navig.pdf,Low et al. - 2023 - Shape-Sensing Robotic-Assisted Bronchoscopy vs Digital Tomosynthesis-Corrected Electromagnetic Navig.pdf
10.1016/s2213-2600(18)30288-1,out/hardened/AMPLE2.json,out/hardened/Aggressive versus symptom-guided drainage of m.json,Muruganandan et al. - 2018 - Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural cathe.pdf,Muruganandan et al. - 2018 - Aggressive versus symptom-guided drainage of malignant pleural effusion via indwelling pleural cathe.pdf
10.1016/s2213-2600(19)30342-x,out/hardened/COLDICE study.json,out/hardened/Diagnostic accuracy of transbronchial lung cry.json,Troy et al. - 2020 - Diagnostic accuracy of transbronchial lung cryobiopsy for interstitial lung disease diagnosis (COLDI.pdf,Troy et al. - 2020 - Diagnostic accuracy of transbronchial lung cryobiopsy for interstitial lung disease diagnosis (COLDI.pdf
10.1056/nejmoa0900928,out/hardened/A randomized study of endobronchial valves for.json,out/hardened/surigicalLVR A randomized trial comparing lung-volume-reduc.json,Sciurba et al. - 2010 - A Randomized Study of Endobronchial Valves for Advanced Emphysema.pdf,Sciurba et al. - 2010 - A Randomized Study of Endobronchial Valves for Advanced Emphysema.pdf
10.1056/nejmoa1716883,out/hardened/Bhatnagar-2018-Outpatient Talc Administration.json,out/hardened/IPCplus.json,Bhatnagar et al. - 2018 - Outpatient Talc Administration by Indwelling Pleural Catheter for Malignant Effusion.pdf,Bhatnagar et al. - 2018 - Outpatient Talc Administration by Indwelling Pleural Catheter for Malignant Effusion.pdf
10.1056/nejmoa1910775,out/hardened/Conservative versus Interventional Treatment f.json,out/hardened/Conservative versus Interventional Treatment for spont PTX.json,Brown et al. - 2020 - Conservative versus Interventional Treatment for Spontaneous Pneumothorax.pdf,Brown et al. - 2020 - Conservative versus Interventional Treatment for Spontaneous Pneumothorax.pdf
10.1097/00128594-199404000-00006,out/hardened/NdYAG_laser_therapy_in_lung_cancer_1994.json,out/hardened/nd__yag_laser_therapy_in_lung_cancer__an_11_year.6.json,"Cavaliere et al. - NdYAG Laser Therapy in Lung Cancer An 11-Year Experience with 2,253 Applications in 1,585 Patients.pdf","Cavaliere et al. - NdYAG Laser Therapy in Lung Cancer An 11-Year Experience with 2,253 Applications in 1,585 Patients.pdf"
10.1159/000504679,out/hardened/Evaluation of Safety and Short-term.json,out/hardened/Murgu Saftey of TIVA in rigid.json,Murgu et al. - 2020 - Evaluation of Safety and Short-term Outcomes of Therapeutic Rigid Bronchoscopy Using Total Intraveno.pdf,Murgu et al. - 2020 - Evaluation of Safety and Short-term Outcomes of Therapeutic Rigid Bronchoscopy Using Total Intraveno.pdf
10.1159/000510763,out/hardened/Cone-beam computed tomography-guided electromagnetic navigation for peripheral lung nodules.json,out/hardened/cone_beam_ct_with_augmented_fluoroscopy_combined.json,Kheir et al. - 2021 - Cone-Beam Computed Tomography-Guided Electromagnetic Navigation for Peripheral Lung Nodules.pdf,Kheir et al. - 2021 - Cone-Beam Computed Tomography-Guided Electromagnetic Navigation for Peripheral Lung Nodules.pdf
10.1164/rccm.201607-1404oc,out/hardened/ASAP trial.json,out/hardened/Randomized Trial of Pleural Fluid Drainage Fre.json,Wahidi et al. - 2017 - Randomized Trial of Pleural Fluid Drainage Frequency in Patients with Malignant Pleural Effusions. T.pdf,Wahidi et al. - 2017 - Randomized Trial of Pleural Fluid Drainage Frequency in Patients with Malignant Pleural Effusions. T.pdf
